------------------------------------------------------------------------
| p                                                          | count   |
========================================================================
| <http://id.nlm.nih.gov/mesh/vocab#abbreviation>            | 81      |
| <http://id.nlm.nih.gov/mesh/vocab#active>                  | 94005   |
| <http://id.nlm.nih.gov/mesh/vocab#allowableQualifier>      | 634772  |
| <http://id.nlm.nih.gov/mesh/vocab#altLabel>                | 134093  |
| <http://id.nlm.nih.gov/mesh/vocab#annotation>              | 12696   |
| <http://id.nlm.nih.gov/mesh/vocab#broaderConcept>          | 8890    |
| <http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor>       | 42621   |
| <http://id.nlm.nih.gov/mesh/vocab#broaderQualifier>        | 76      |
| <http://id.nlm.nih.gov/mesh/vocab#casn1_label>             | 22623   |
| <http://id.nlm.nih.gov/mesh/vocab#concept>                 | 111913  |
| <http://id.nlm.nih.gov/mesh/vocab#considerAlso>            | 68      |
| <http://id.nlm.nih.gov/mesh/vocab#dateCreated>             | 878394  |
| <http://id.nlm.nih.gov/mesh/vocab#dateEstablished>         | 90      |
| <http://id.nlm.nih.gov/mesh/vocab#dateIntroduced>          | 355256  |
| <http://id.nlm.nih.gov/mesh/vocab#dateRevised>             | 3817    |
| <http://id.nlm.nih.gov/mesh/vocab#entryVersion>            | 16272   |
| <http://id.nlm.nih.gov/mesh/vocab#frequency>               | 324911  |
| <http://id.nlm.nih.gov/mesh/vocab#hasDescriptor>           | 687710  |
| <http://id.nlm.nih.gov/mesh/vocab#hasQualifier>            | 687710  |
| <http://id.nlm.nih.gov/mesh/vocab#historyNote>             | 27288   |
| <http://id.nlm.nih.gov/mesh/vocab#identifier>              | 1704725 |
| <http://id.nlm.nih.gov/mesh/vocab#indexerConsiderAlso>     | 47042   |
| <http://id.nlm.nih.gov/mesh/vocab#lastActiveYear>          | 93998   |
| <http://id.nlm.nih.gov/mesh/vocab#lastUpdated>             | 355256  |
| <http://id.nlm.nih.gov/mesh/vocab#lexicalTag>              | 876194  |
| <http://id.nlm.nih.gov/mesh/vocab#mappedTo>                | 48297   |
| <http://id.nlm.nih.gov/mesh/vocab#narrowerConcept>         | 92512   |
| <http://id.nlm.nih.gov/mesh/vocab#nlmClassificationNumber> | 6324    |
| <http://id.nlm.nih.gov/mesh/vocab#note>                    | 219502  |
| <http://id.nlm.nih.gov/mesh/vocab#onlineNote>              | 3039    |
| <http://id.nlm.nih.gov/mesh/vocab#parentTreeNumber>        | 82710   |
| <http://id.nlm.nih.gov/mesh/vocab#pharmacologicalAction>   | 15736   |
| <http://id.nlm.nih.gov/mesh/vocab#prefLabel>               | 876194  |
| <http://id.nlm.nih.gov/mesh/vocab#preferredConcept>        | 359617  |
| <http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo>       | 393952  |
| <http://id.nlm.nih.gov/mesh/vocab#preferredTerm>           | 828531  |
| <http://id.nlm.nih.gov/mesh/vocab#previousIndexing>        | 83810   |
| <http://id.nlm.nih.gov/mesh/vocab#publicMeSHNote>          | 26758   |
| <http://id.nlm.nih.gov/mesh/vocab#registryNumber>          | 3260    |
| <http://id.nlm.nih.gov/mesh/vocab#relatedConcept>          | 8355    |
| <http://id.nlm.nih.gov/mesh/vocab#relatedRegistryNumber>   | 43835   |
| <http://id.nlm.nih.gov/mesh/vocab#scopeNote>               | 33537   |
| <http://id.nlm.nih.gov/mesh/vocab#seeAlso>                 | 9229    |
| <http://id.nlm.nih.gov/mesh/vocab#sortVersion>             | 47      |
| <http://id.nlm.nih.gov/mesh/vocab#source>                  | 255227  |
| <http://id.nlm.nih.gov/mesh/vocab#term>                    | 401714  |
| <http://id.nlm.nih.gov/mesh/vocab#thesaurusID>             | 922686  |
| <http://id.nlm.nih.gov/mesh/vocab#treeNumber>              | 65575   |
| <http://id.nlm.nih.gov/mesh/vocab#useInstead>              | 1048    |
| <http://www.medvik.cz/schema/mesh/vocab/#active>           | 11      |
| <http://www.medvik.cz/schema/mesh/vocab/#annotation>       | 2693    |
| <http://www.medvik.cz/schema/mesh/vocab/#concept>          | 22      |
| <http://www.medvik.cz/schema/mesh/vocab/#considerAlso>     | 4       |
| <http://www.medvik.cz/schema/mesh/vocab/#dateCreated>      | 113087  |
| <http://www.medvik.cz/schema/mesh/vocab/#dateDeleted>      | 3       |
| <http://www.medvik.cz/schema/mesh/vocab/#dateUpdated>      | 25432   |
| <http://www.medvik.cz/schema/mesh/vocab/#historyNote>      | 1       |
| <http://www.medvik.cz/schema/mesh/vocab/#identifier>       | 81500   |
| <http://www.medvik.cz/schema/mesh/vocab/#lexicalTag>       | 2941    |
| <http://www.medvik.cz/schema/mesh/vocab/#narrowerConcept>  | 21      |
| <http://www.medvik.cz/schema/mesh/vocab/#notTranslatable>  | 2821    |
| <http://www.medvik.cz/schema/mesh/vocab/#prefLabel>        | 113092  |
| <http://www.medvik.cz/schema/mesh/vocab/#preferredTerm>    | 52506   |
| <http://www.medvik.cz/schema/mesh/vocab/#relatedConcept>   | 1       |
| <http://www.medvik.cz/schema/mesh/vocab/#scopeNote>        | 27028   |
| <http://www.medvik.cz/schema/mesh/vocab/#term>             | 60586   |
| <http://www.medvik.cz/schema/mesh/vocab/#translatorsNote>  | 16      |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>          | 2475286 |
| <http://www.w3.org/2000/01/rdf-schema#label>               | 1589870 |
------------------------------------------------------------------------
