-----------------------------------------------------------------
| p                                                   | count   |
=================================================================
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   | 62390   |
| <http://www.w3.org/2004/02/skos/core#altLabel>      | 146512  |
| <http://www.w3.org/2004/02/skos/core#broader>       | 42695   |
| <http://www.w3.org/2004/02/skos/core#changeNote>    | 27397   |
| <http://www.w3.org/2004/02/skos/core#definition>    | 1267770 |
| <http://www.w3.org/2004/02/skos/core#editorialNote> | 72      |
| <http://www.w3.org/2004/02/skos/core#exactMatch>    | 31186   |
| <http://www.w3.org/2004/02/skos/core#hasTopConcept> | 17      |
| <http://www.w3.org/2004/02/skos/core#hiddenLabel>   | 851898  |
| <http://www.w3.org/2004/02/skos/core#historyNote>   | 27200   |
| <http://www.w3.org/2004/02/skos/core#inScheme>      | 31202   |
| <http://www.w3.org/2004/02/skos/core#narrower>      | 42681   |
| <http://www.w3.org/2004/02/skos/core#notation>      | 65377   |
| <http://www.w3.org/2004/02/skos/core#note>          | 15315   |
| <http://www.w3.org/2004/02/skos/core#prefLabel>     | 62409   |
| <http://www.w3.org/2004/02/skos/core#related>       | 9213    |
| <http://www.w3.org/2004/02/skos/core#scopeNote>     | 56015   |
| <http://www.w3.org/2004/02/skos/core#topConceptOf>  | 17      |
-----------------------------------------------------------------
