------------------------------------------------------------------------
| p                                                          | count   |
========================================================================
| <http://id.nlm.nih.gov/mesh/vocab#abbreviation>            | 81      |
| <http://id.nlm.nih.gov/mesh/vocab#active>                  | 91031   |
| <http://id.nlm.nih.gov/mesh/vocab#allowableQualifier>      | 630928  |
| <http://id.nlm.nih.gov/mesh/vocab#altLabel>                | 133894  |
| <http://id.nlm.nih.gov/mesh/vocab#annotation>              | 12682   |
| <http://id.nlm.nih.gov/mesh/vocab#broaderConcept>          | 8883    |
| <http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor>       | 42380   |
| <http://id.nlm.nih.gov/mesh/vocab#broaderQualifier>        | 76      |
| <http://id.nlm.nih.gov/mesh/vocab#casn1_label>             | 22620   |
| <http://id.nlm.nih.gov/mesh/vocab#concept>                 | 111506  |
| <http://id.nlm.nih.gov/mesh/vocab#considerAlso>            | 67      |
| <http://id.nlm.nih.gov/mesh/vocab#dateCreated>             | 1229309 |
| <http://id.nlm.nih.gov/mesh/vocab#dateEstablished>         | 31116   |
| <http://id.nlm.nih.gov/mesh/vocab#dateRevised>             | 358146  |
| <http://id.nlm.nih.gov/mesh/vocab#entryVersion>            | 16270   |
| <http://id.nlm.nih.gov/mesh/vocab#frequency>               | 324830  |
| <http://id.nlm.nih.gov/mesh/vocab#hasDescriptor>           | 683772  |
| <http://id.nlm.nih.gov/mesh/vocab#hasQualifier>            | 683772  |
| <http://id.nlm.nih.gov/mesh/vocab#historyNote>             | 27106   |
| <http://id.nlm.nih.gov/mesh/vocab#identifier>              | 1699543 |
| <http://id.nlm.nih.gov/mesh/vocab#indexerConsiderAlso>     | 46988   |
| <http://id.nlm.nih.gov/mesh/vocab#lastActiveYear>          | 91031   |
| <http://id.nlm.nih.gov/mesh/vocab#lexicalTag>              | 872779  |
| <http://id.nlm.nih.gov/mesh/vocab#mappedTo>                | 47022   |
| <http://id.nlm.nih.gov/mesh/vocab#narrowerConcept>         | 92287   |
| <http://id.nlm.nih.gov/mesh/vocab#nlmClassificationNumber> | 6326    |
| <http://id.nlm.nih.gov/mesh/vocab#note>                    | 218892  |
| <http://id.nlm.nih.gov/mesh/vocab#onlineNote>              | 3044    |
| <http://id.nlm.nih.gov/mesh/vocab#parentTreeNumber>        | 82014   |
| <http://id.nlm.nih.gov/mesh/vocab#pharmacologicalAction>   | 15716   |
| <http://id.nlm.nih.gov/mesh/vocab#prefLabel>               | 872779  |
| <http://id.nlm.nih.gov/mesh/vocab#preferredConcept>        | 358689  |
| <http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo>       | 394264  |
| <http://id.nlm.nih.gov/mesh/vocab#preferredTerm>           | 826764  |
| <http://id.nlm.nih.gov/mesh/vocab#previousIndexing>        | 83530   |
| <http://id.nlm.nih.gov/mesh/vocab#publicMeSHNote>          | 26577   |
| <http://id.nlm.nih.gov/mesh/vocab#registryNumber>          | 3230    |
| <http://id.nlm.nih.gov/mesh/vocab#relatedConcept>          | 8318    |
| <http://id.nlm.nih.gov/mesh/vocab#relatedRegistryNumber>   | 43957   |
| <http://id.nlm.nih.gov/mesh/vocab#scopeNote>               | 33335   |
| <http://id.nlm.nih.gov/mesh/vocab#seeAlso>                 | 9218    |
| <http://id.nlm.nih.gov/mesh/vocab#sortVersion>             | 47      |
| <http://id.nlm.nih.gov/mesh/vocab#source>                  | 255148  |
| <http://id.nlm.nih.gov/mesh/vocab#term>                    | 398865  |
| <http://id.nlm.nih.gov/mesh/vocab#thesaurusID>             | 919250  |
| <http://id.nlm.nih.gov/mesh/vocab#treeNumber>              | 65086   |
| <http://id.nlm.nih.gov/mesh/vocab#useInstead>              | 1044    |
| <http://www.medvik.cz/schema/mesh/vocab/#active>           | 11      |
| <http://www.medvik.cz/schema/mesh/vocab/#annotation>       | 2530    |
| <http://www.medvik.cz/schema/mesh/vocab/#concept>          | 23      |
| <http://www.medvik.cz/schema/mesh/vocab/#considerAlso>     | 4       |
| <http://www.medvik.cz/schema/mesh/vocab/#dateCreated>      | 111930  |
| <http://www.medvik.cz/schema/mesh/vocab/#dateDeleted>      | 3       |
| <http://www.medvik.cz/schema/mesh/vocab/#dateUpdated>      | 24474   |
| <http://www.medvik.cz/schema/mesh/vocab/#historyNote>      | 1       |
| <http://www.medvik.cz/schema/mesh/vocab/#identifier>       | 81527   |
| <http://www.medvik.cz/schema/mesh/vocab/#lexicalTag>       | 2834    |
| <http://www.medvik.cz/schema/mesh/vocab/#narrowerConcept>  | 22      |
| <http://www.medvik.cz/schema/mesh/vocab/#notTranslatable>  | 2773    |
| <http://www.medvik.cz/schema/mesh/vocab/#prefLabel>        | 111935  |
| <http://www.medvik.cz/schema/mesh/vocab/#preferredTerm>    | 52156   |
| <http://www.medvik.cz/schema/mesh/vocab/#relatedConcept>   | 1       |
| <http://www.medvik.cz/schema/mesh/vocab/#scopeNote>        | 26051   |
| <http://www.medvik.cz/schema/mesh/vocab/#term>             | 59779   |
| <http://www.medvik.cz/schema/mesh/vocab/#translatorsNote>  | 14      |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>          | 2465470 |
| <http://www.w3.org/2000/01/rdf-schema#label>               | 1583468 |
------------------------------------------------------------------------
