-----------------------------------------------------------------
| p                                                    | count  |
=================================================================
| <http://mesh.medvik.cz/meshcz/allowedQualifier>      | 633885 |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>    | 62392  |
| <http://www.w3.org/2000/01/rdf-schema#domain>        | 1      |
| <http://www.w3.org/2000/01/rdf-schema#label>         | 2      |
| <http://www.w3.org/2000/01/rdf-schema#range>         | 1      |
| <http://www.w3.org/2000/01/rdf-schema#subPropertyOf> | 1      |
| <http://www.w3.org/2004/02/skos/core#altLabel>       | 146512 |
| <http://www.w3.org/2004/02/skos/core#broader>        | 42718  |
| <http://www.w3.org/2004/02/skos/core#changeNote>     | 27397  |
| <http://www.w3.org/2004/02/skos/core#editorialNote>  | 72     |
| <http://www.w3.org/2004/02/skos/core#exactMatch>     | 31186  |
| <http://www.w3.org/2004/02/skos/core#hasTopConcept>  | 17     |
| <http://www.w3.org/2004/02/skos/core#hiddenLabel>    | 851898 |
| <http://www.w3.org/2004/02/skos/core#historyNote>    | 27200  |
| <http://www.w3.org/2004/02/skos/core#inScheme>       | 31186  |
| <http://www.w3.org/2004/02/skos/core#narrower>       | 42718  |
| <http://www.w3.org/2004/02/skos/core#notation>       | 65466  |
| <http://www.w3.org/2004/02/skos/core#note>           | 15315  |
| <http://www.w3.org/2004/02/skos/core#prefLabel>      | 62410  |
| <http://www.w3.org/2004/02/skos/core#related>        | 9213   |
| <http://www.w3.org/2004/02/skos/core#scopeNote>      | 56015  |
| <http://www.w3.org/2004/02/skos/core#topConceptOf>   | 17     |
-----------------------------------------------------------------
