------------------------------------------------------------------------
| p                                                          | count   |
========================================================================
| <http://id.nlm.nih.gov/mesh/vocab#abbreviation>            | 81      |
| <http://id.nlm.nih.gov/mesh/vocab#active>                  | 91643   |
| <http://id.nlm.nih.gov/mesh/vocab#allowableQualifier>      | 634712  |
| <http://id.nlm.nih.gov/mesh/vocab#altLabel>                | 134039  |
| <http://id.nlm.nih.gov/mesh/vocab#annotation>              | 12694   |
| <http://id.nlm.nih.gov/mesh/vocab#broaderConcept>          | 8887    |
| <http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor>       | 42612   |
| <http://id.nlm.nih.gov/mesh/vocab#broaderQualifier>        | 76      |
| <http://id.nlm.nih.gov/mesh/vocab#casn1_label>             | 22621   |
| <http://id.nlm.nih.gov/mesh/vocab#concept>                 | 111490  |
| <http://id.nlm.nih.gov/mesh/vocab#considerAlso>            | 68      |
| <http://id.nlm.nih.gov/mesh/vocab#dateCreated>             | 876939  |
| <http://id.nlm.nih.gov/mesh/vocab#dateEstablished>         | 84      |
| <http://id.nlm.nih.gov/mesh/vocab#dateRevised>             | 3153    |
| <http://id.nlm.nih.gov/mesh/vocab#entryVersion>            | 16267   |
| <http://id.nlm.nih.gov/mesh/vocab#frequency>               | 324275  |
| <http://id.nlm.nih.gov/mesh/vocab#hasDescriptor>           | 687648  |
| <http://id.nlm.nih.gov/mesh/vocab#hasQualifier>            | 687648  |
| <http://id.nlm.nih.gov/mesh/vocab#historyNote>             | 27282   |
| <http://id.nlm.nih.gov/mesh/vocab#identifier>              | 1702558 |
| <http://id.nlm.nih.gov/mesh/vocab#indexerConsiderAlso>     | 46963   |
| <http://id.nlm.nih.gov/mesh/vocab#lastActiveYear>          | 91643   |
| <http://id.nlm.nih.gov/mesh/vocab#lexicalTag>              | 875403  |
| <http://id.nlm.nih.gov/mesh/vocab#mappedTo>                | 48253   |
| <http://id.nlm.nih.gov/mesh/vocab#narrowerConcept>         | 92173   |
| <http://id.nlm.nih.gov/mesh/vocab#nlmClassificationNumber> | 6323    |
| <http://id.nlm.nih.gov/mesh/vocab#note>                    | 219373  |
| <http://id.nlm.nih.gov/mesh/vocab#onlineNote>              | 3039    |
| <http://id.nlm.nih.gov/mesh/vocab#parentTreeNumber>        | 82537   |
| <http://id.nlm.nih.gov/mesh/vocab#pharmacologicalAction>   | 15730   |
| <http://id.nlm.nih.gov/mesh/vocab#prefLabel>               | 875406  |
| <http://id.nlm.nih.gov/mesh/vocab#preferredConcept>        | 358950  |
| <http://id.nlm.nih.gov/mesh/vocab#preferredMappedTo>       | 393257  |
| <http://id.nlm.nih.gov/mesh/vocab#preferredTerm>           | 827155  |
| <http://id.nlm.nih.gov/mesh/vocab#previousIndexing>        | 83731   |
| <http://id.nlm.nih.gov/mesh/vocab#publicMeSHNote>          | 26752   |
| <http://id.nlm.nih.gov/mesh/vocab#registryNumber>          | 3260    |
| <http://id.nlm.nih.gov/mesh/vocab#relatedConcept>          | 8337    |
| <http://id.nlm.nih.gov/mesh/vocab#relatedRegistryNumber>   | 43799   |
| <http://id.nlm.nih.gov/mesh/vocab#scopeNote>               | 33532   |
| <http://id.nlm.nih.gov/mesh/vocab#seeAlso>                 | 9229    |
| <http://id.nlm.nih.gov/mesh/vocab#sortVersion>             | 47      |
| <http://id.nlm.nih.gov/mesh/vocab#source>                  | 255071  |
| <http://id.nlm.nih.gov/mesh/vocab#term>                    | 401232  |
| <http://id.nlm.nih.gov/mesh/vocab#thesaurusID>             | 921859  |
| <http://id.nlm.nih.gov/mesh/vocab#treeNumber>              | 65563   |
| <http://id.nlm.nih.gov/mesh/vocab#useInstead>              | 1047    |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>          | 2472884 |
| <http://www.w3.org/2000/01/rdf-schema#label>               | 1588245 |
------------------------------------------------------------------------
